EE UID,Client ID,Destination,first_datenum,last_datenum,first_m,last_m,first_year,last_year,diffdays,Client Age at Entry,Client Gender,Client Gender,Client Primary Race,Client Ethnicity,Client Veteran Status,Length of Stay in Previous Place(1934),Housing Status(2703),Prior Living Situation(43)
700816,403745,"Staying or living with friends, temporary tenure (HUD)",2015-10-05,2015-10-08,10,10.0,2015,2015.0,3.0,31.0,Male,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),"90 days or more, but less than one year",Category 1 - Homeless (HUD),Place not meant for habitation (HUD)
700818,389431,Psychiatric hospital or other psychiatric facility (HUD),2015-10-05,2015-10-08,10,10.0,2015,2015.0,3.0,37.0,Male,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),Two to six nights,Category 1 - Homeless (HUD),"Emergency shelter, incl. hotel/motel paid for w/ ES voucher, or RHY-funded Host Home shelter (HUD)"
700819,2024,"Staying or living with friends, temporary tenure (HUD)",2015-10-05,2015-10-06,10,10.0,2015,2015.0,1.0,46.0,Male,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),"One week or more, but less than one month",Category 1 - Homeless (HUD),Place not meant for habitation (HUD)
700820,257677,"Staying or living with friends, temporary tenure (HUD)",2015-10-05,2015-10-06,10,10.0,2015,2015.0,1.0,24.0,Male,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),One year or longer (HUD),Category 1 - Homeless (HUD),"Staying or living in a family member's room, apartment or house (HUD)"
700821,381739,"Rental by client, no ongoing housing subsidy (HUD)",2015-10-05,2016-02-02,10,2.0,2015,2016.0,120.0,25.0,Male,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),"One month or more, but less than 90 days",Category 1 - Homeless (HUD),Place not meant for habitation (HUD)
700823,365130,"Staying or living with friends, temporary tenure (HUD)",2015-10-05,2015-10-09,10,10.0,2015,2015.0,4.0,23.0,Male,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),"One week or more, but less than one month",Category 1 - Homeless (HUD),Residential project or halfway house with no homeless criteria (HUD)
700828,143061,"Staying or living with friends, temporary tenure (HUD)",2015-10-05,2015-10-10,10,10.0,2015,2015.0,5.0,60.0,Male,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),Yes (HUD),One year or longer (HUD),,Substance abuse treatment facility or detox center (HUD)
700830,412579,"Staying or living with friends, temporary tenure (HUD)",2015-10-05,2015-10-09,10,10.0,2015,2015.0,4.0,48.0,Female,Female,Black or African American (HUD),Hispanic/Latino (HUD),No (HUD),Two to six nights,Category 1 - Homeless (HUD),"Staying or living in a friend's room, apartment or house (HUD)"
700881,160859,"Staying or living with friends, temporary tenure (HUD)",2015-10-01,2015-10-17,10,10.0,2015,2015.0,16.0,53.0,Male,Male,American Indian or Alaska Native (HUD),Hispanic/Latino (HUD),No (HUD),"One week or more, but less than one month",Category 1 - Homeless (HUD),Place not meant for habitation (HUD)
701099,412724,"Staying or living with friends, temporary tenure (HUD)",2015-10-06,2015-11-29,10,11.0,2015,2015.0,54.0,50.0,Male,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),Two to six nights,Category 1 - Homeless (HUD),"Emergency shelter, incl. hotel/motel paid for w/ ES voucher, or RHY-funded Host Home shelter (HUD)"
701100,183882,"Staying or living with friends, temporary tenure (HUD)",2015-10-06,2015-10-14,10,10.0,2015,2015.0,8.0,45.0,Male,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),One year or longer (HUD),Category 1 - Homeless (HUD),Place not meant for habitation (HUD)
701101,412723,"Staying or living with friends, temporary tenure (HUD)",2015-10-06,2015-10-07,10,10.0,2015,2015.0,1.0,26.0,Male,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),One night or less,Category 1 - Homeless (HUD),"Staying or living in a friend's room, apartment or house (HUD)"
701102,412722,"Staying or living with friends, temporary tenure (HUD)",2015-10-06,2015-10-13,10,10.0,2015,2015.0,7.0,43.0,Male,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),Yes (HUD),Two to six nights,Category 1 - Homeless (HUD),Place not meant for habitation (HUD)
701405,2416,Data not collected (HUD),2015-10-07,2016-03-01,10,3.0,2015,2016.0,146.0,48.0,Male,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),"One week or more, but less than one month",Category 1 - Homeless (HUD),"Staying or living in a friend's room, apartment or house (HUD)"
701406,412856,"Staying or living with friends, temporary tenure (HUD)",2015-10-07,2016-05-24,10,5.0,2015,2016.0,230.0,56.0,Female,Female,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),"90 days or more, but less than one year",Category 1 - Homeless (HUD),"Staying or living in a friend's room, apartment or house (HUD)"
701694,10619,"Staying or living with friends, temporary tenure (HUD)",2015-10-08,2015-10-14,10,10.0,2015,2015.0,6.0,50.0,Male,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),One night or less,Category 1 - Homeless (HUD),"Emergency shelter, incl. hotel/motel paid for w/ ES voucher, or RHY-funded Host Home shelter (HUD)"
701695,402257,"Staying or living with friends, temporary tenure (HUD)",2015-10-08,2015-10-21,10,10.0,2015,2015.0,13.0,22.0,Male,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),One night or less,Category 1 - Homeless (HUD),"Staying or living in a friend's room, apartment or house (HUD)"
701696,280121,"Staying or living with friends, temporary tenure (HUD)",2015-10-08,2015-10-26,10,10.0,2015,2015.0,18.0,53.0,Male,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),"90 days or more, but less than one year",Category 1 - Homeless (HUD),"Staying or living in a family member's room, apartment or house (HUD)"
701698,378313,"Jail, prison or juvenile detention facility (HUD)",2015-10-08,2015-10-09,10,10.0,2015,2015.0,1.0,49.0,Male,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),"90 days or more, but less than one year",Category 1 - Homeless (HUD),"Jail, prison or juvenile detention facility (HUD)"
701699,412975,"Staying or living with friends, temporary tenure (HUD)",2015-10-05,2015-10-09,10,10.0,2015,2015.0,4.0,44.0,Male,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),"90 days or more, but less than one year",Category 1 - Homeless (HUD),"Staying or living in a family member's room, apartment or house (HUD)"
702190,410574,"Staying or living with friends, temporary tenure (HUD)",2015-10-09,2015-10-10,10,10.0,2015,2015.0,1.0,53.0,Male,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),One year or longer (HUD),Category 1 - Homeless (HUD),"Rental by client, no ongoing housing subsidy (HUD)"
702192,231530,"Staying or living with friends, temporary tenure (HUD)",2015-10-09,2015-10-19,10,10.0,2015,2015.0,10.0,40.0,Male,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),"90 days or more, but less than one year",Category 1 - Homeless (HUD),"Emergency shelter, incl. hotel/motel paid for w/ ES voucher, or RHY-funded Host Home shelter (HUD)"
702193,171448,"Staying or living with friends, temporary tenure (HUD)",2015-10-10,2016-03-08,10,3.0,2015,2016.0,150.0,62.0,Male,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),"One week or more, but less than one month",Category 1 - Homeless (HUD),"Emergency shelter, incl. hotel/motel paid for w/ ES voucher, or RHY-funded Host Home shelter (HUD)"
702194,413217,"Staying or living with friends, temporary tenure (HUD)",2015-10-10,2015-10-14,10,10.0,2015,2015.0,4.0,29.0,Male,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),"One month or more, but less than 90 days",Category 1 - Homeless (HUD),"Staying or living in a family member's room, apartment or house (HUD)"
702195,340736,"Staying or living with friends, temporary tenure (HUD)",2015-10-10,2016-01-07,10,1.0,2015,2016.0,89.0,23.0,Male,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),"One month or more, but less than 90 days",Category 1 - Homeless (HUD),"Staying or living in a family member's room, apartment or house (HUD)"
702196,143061,"Staying or living with friends, temporary tenure (HUD)",2015-10-11,2015-10-30,10,10.0,2015,2015.0,19.0,60.0,Male,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),Yes (HUD),One year or longer (HUD),,Substance abuse treatment facility or detox center (HUD)
702197,413219,"Staying or living with friends, temporary tenure (HUD)",2015-10-11,2015-11-04,10,11.0,2015,2015.0,24.0,36.0,Male,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),"One month or more, but less than 90 days",Category 1 - Homeless (HUD),"Staying or living in a friend's room, apartment or house (HUD)"
702198,413218,"Staying or living with friends, temporary tenure (HUD)",2015-10-09,2015-10-14,10,10.0,2015,2015.0,5.0,25.0,Female,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),"One month or more, but less than 90 days",Category 1 - Homeless (HUD),Hospital or other residential non-psychiatric medical facility (HUD)
702511,168881,"Staying or living with friends, temporary tenure (HUD)",2015-10-12,2015-10-13,10,10.0,2015,2015.0,1.0,56.0,Male,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),Yes (HUD),"One month or more, but less than 90 days",Category 1 - Homeless (HUD),Place not meant for habitation (HUD)
702512,394031,"Staying or living with friends, temporary tenure (HUD)",2015-10-12,2016-06-27,10,6.0,2015,2016.0,259.0,41.0,Male,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),"90 days or more, but less than one year",Category 1 - Homeless (HUD),"Staying or living in a friend's room, apartment or house (HUD)"
702513,413345,"Staying or living with friends, temporary tenure (HUD)",2015-10-12,2015-10-13,10,10.0,2015,2015.0,1.0,24.0,Male,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),Two to six nights,Category 1 - Homeless (HUD),Place not meant for habitation (HUD)
702514,275690,"Rental by client, with other ongoing housing subsidy (HUD)",2015-10-12,2015-10-16,10,10.0,2015,2015.0,4.0,23.0,Male,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),Two to six nights,Category 1 - Homeless (HUD),"Staying or living in a friend's room, apartment or house (HUD)"
702515,361596,"Staying or living with friends, temporary tenure (HUD)",2015-10-12,2015-10-25,10,10.0,2015,2015.0,13.0,71.0,Male,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),Two to six nights,Category 1 - Homeless (HUD),Place not meant for habitation (HUD)
702516,413348,"Staying or living with family, permanent tenure (HUD)",2015-10-12,2015-10-13,10,10.0,2015,2015.0,1.0,27.0,Male,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),Two to six nights,Category 1 - Homeless (HUD),"Emergency shelter, incl. hotel/motel paid for w/ ES voucher, or RHY-funded Host Home shelter (HUD)"
702517,413349,"Staying or living with friends, temporary tenure (HUD)",2015-10-12,2015-10-14,10,10.0,2015,2015.0,2.0,33.0,Male,Male,American Indian or Alaska Native (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),Two to six nights,Category 1 - Homeless (HUD),"Emergency shelter, incl. hotel/motel paid for w/ ES voucher, or RHY-funded Host Home shelter (HUD)"
702518,365130,"Staying or living with friends, temporary tenure (HUD)",2015-10-12,2015-10-26,10,10.0,2015,2015.0,14.0,23.0,Male,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),"One week or more, but less than one month",Category 1 - Homeless (HUD),Residential project or halfway house with no homeless criteria (HUD)
702519,129280,"Staying or living with friends, temporary tenure (HUD)",2015-10-12,2015-10-16,10,10.0,2015,2015.0,4.0,55.0,Male,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),One year or longer (HUD),Category 1 - Homeless (HUD),Place not meant for habitation (HUD)
702520,410574,"Staying or living with friends, temporary tenure (HUD)",2015-10-12,2015-10-15,10,10.0,2015,2015.0,3.0,53.0,Male,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),One year or longer (HUD),Category 1 - Homeless (HUD),"Rental by client, no ongoing housing subsidy (HUD)"
702521,413283,Hospital or other residential non-psychiatric medical facility (HUD),2015-10-12,2015-11-10,10,11.0,2015,2015.0,29.0,19.0,Female,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),Two to six nights,Category 1 - Homeless (HUD),Place not meant for habitation (HUD)
702784,165730,"Rental by client, no ongoing housing subsidy (HUD)",2015-10-02,2016-02-17,10,2.0,2015,2016.0,138.0,51.0,Male,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),One year or longer (HUD),Category 1 - Homeless (HUD),"Emergency shelter, incl. hotel/motel paid for w/ ES voucher, or RHY-funded Host Home shelter (HUD)"
702928,409062,"Staying or living with friends, temporary tenure (HUD)",2015-10-12,2015-11-12,10,11.0,2015,2015.0,31.0,35.0,Male,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),One night or less,Category 1 - Homeless (HUD),"Emergency shelter, incl. hotel/motel paid for w/ ES voucher, or RHY-funded Host Home shelter (HUD)"
702929,411378,"Staying or living with friends, temporary tenure (HUD)",2015-10-13,2015-11-11,10,11.0,2015,2015.0,29.0,25.0,Male,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),"90 days or more, but less than one year",Category 1 - Homeless (HUD),"Staying or living in a friend's room, apartment or house (HUD)"
702955,252732,"Staying or living with friends, temporary tenure (HUD)",2015-10-13,2015-10-23,10,10.0,2015,2015.0,10.0,35.0,Female,Female,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),Two to six nights,Category 1 - Homeless (HUD),"Emergency shelter, incl. hotel/motel paid for w/ ES voucher, or RHY-funded Host Home shelter (HUD)"
702959,199190,"Staying or living with friends, temporary tenure (HUD)",2015-10-12,2015-10-14,10,10.0,2015,2015.0,2.0,47.0,Female,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),"One week or more, but less than one month",Category 1 - Homeless (HUD),"Emergency shelter, incl. hotel/motel paid for w/ ES voucher, or RHY-funded Host Home shelter (HUD)"
703283,333120,"Staying or living with friends, temporary tenure (HUD)",2015-10-14,2015-11-12,10,11.0,2015,2015.0,29.0,37.0,Male,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),"90 days or more, but less than one year",Category 1 - Homeless (HUD),"Jail, prison or juvenile detention facility (HUD)"
703607,271781,"Staying or living with friends, temporary tenure (HUD)",2015-10-15,2015-10-16,10,10.0,2015,2015.0,1.0,51.0,Male,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),One night or less,Category 1 - Homeless (HUD),"Staying or living in a family member's room, apartment or house (HUD)"
703608,339764,"Staying or living with friends, temporary tenure (HUD)",2015-10-15,2015-10-16,10,10.0,2015,2015.0,1.0,42.0,Male,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),One night or less,Category 1 - Homeless (HUD),Substance abuse treatment facility or detox center (HUD)
703609,331381,"Staying or living with friends, temporary tenure (HUD)",2015-10-14,2015-10-15,10,10.0,2015,2015.0,1.0,54.0,Male,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),"One week or more, but less than one month",Category 1 - Homeless (HUD),Place not meant for habitation (HUD)
703610,401497,"Staying or living with friends, temporary tenure (HUD)",2015-10-06,2015-10-17,10,10.0,2015,2015.0,11.0,52.0,Male,Male,Black or African American (HUD),Data not collected (HUD),No (HUD),"One month or more, but less than 90 days",Category 1 - Homeless (HUD),"Staying or living in a family member's room, apartment or house (HUD)"
704098,344494,"Staying or living with friends, temporary tenure (HUD)",2015-10-16,2015-10-17,10,10.0,2015,2015.0,1.0,46.0,Male,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),One year or longer (HUD),Category 1 - Homeless (HUD),Place not meant for habitation (HUD)
704100,400414,"Staying or living with friends, temporary tenure (HUD)",2015-10-16,2015-10-18,10,10.0,2015,2015.0,2.0,55.0,Male,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),"One week or more, but less than one month",Category 1 - Homeless (HUD),"Staying or living in a friend's room, apartment or house (HUD)"
704102,385539,"Staying or living with friends, temporary tenure (HUD)",2015-10-16,2016-02-21,10,2.0,2015,2016.0,128.0,59.0,Male,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),Yes (HUD),Two to six nights,Category 1 - Homeless (HUD),Place not meant for habitation (HUD)
704103,360237,Hospital or other residential non-psychiatric medical facility (HUD),2015-10-16,2015-10-28,10,10.0,2015,2015.0,12.0,51.0,Male,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),Yes (HUD),"90 days or more, but less than one year",Stably housed (HUD),"Rental by client, no ongoing housing subsidy (HUD)"
704104,389431,"Staying or living with friends, temporary tenure (HUD)",2015-10-16,2015-10-30,10,10.0,2015,2015.0,14.0,37.0,Male,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),Two to six nights,Category 1 - Homeless (HUD),"Emergency shelter, incl. hotel/motel paid for w/ ES voucher, or RHY-funded Host Home shelter (HUD)"
704105,411376,"Staying or living with friends, temporary tenure (HUD)",2015-10-16,2015-10-17,10,10.0,2015,2015.0,1.0,50.0,Male,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),Two to six nights,Category 1 - Homeless (HUD),Place not meant for habitation (HUD)
704108,218081,"Staying or living with friends, temporary tenure (HUD)",2015-10-17,2015-10-19,10,10.0,2015,2015.0,2.0,48.0,Male,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),One year or longer (HUD),Category 1 - Homeless (HUD),"Staying or living in a family member's room, apartment or house (HUD)"
704110,129280,"Staying or living with friends, temporary tenure (HUD)",2015-10-18,2015-10-19,10,10.0,2015,2015.0,1.0,55.0,Male,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),One year or longer (HUD),Category 1 - Homeless (HUD),Place not meant for habitation (HUD)
704112,361024,Hospital or other residential non-psychiatric medical facility (HUD),2015-10-16,2015-10-28,10,10.0,2015,2015.0,12.0,50.0,Female,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),"90 days or more, but less than one year",Stably housed (HUD),"Rental by client, with other ongoing housing subsidy (HUD)"
704113,396639,Hospital or other residential non-psychiatric medical facility (HUD),2015-10-17,2015-11-02,10,11.0,2015,2015.0,16.0,45.0,Female,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),"One month or more, but less than 90 days",Category 1 - Homeless (HUD),"Staying or living in a friend's room, apartment or house (HUD)"
704114,401630,"Staying or living with friends, temporary tenure (HUD)",2015-10-18,2015-10-25,10,10.0,2015,2015.0,7.0,24.0,Female,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),One year or longer (HUD),Category 1 - Homeless (HUD),"Staying or living in a friend's room, apartment or house (HUD)"
704488,320781,"Staying or living with friends, temporary tenure (HUD)",2015-10-19,2015-10-23,10,10.0,2015,2015.0,4.0,41.0,Male,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),One year or longer (HUD),Category 1 - Homeless (HUD),Place not meant for habitation (HUD)
704489,160859,"Staying or living with friends, temporary tenure (HUD)",2015-10-19,2015-10-31,10,10.0,2015,2015.0,12.0,53.0,Male,Male,American Indian or Alaska Native (HUD),Hispanic/Latino (HUD),No (HUD),"One week or more, but less than one month",Category 1 - Homeless (HUD),Place not meant for habitation (HUD)
704490,413993,"Staying or living with friends, temporary tenure (HUD)",2015-10-19,2015-10-21,10,10.0,2015,2015.0,2.0,26.0,Male,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),One night or less,Category 1 - Homeless (HUD),Hospital or other residential non-psychiatric medical facility (HUD)
704491,331491,"Staying or living with friends, temporary tenure (HUD)",2015-10-19,2015-12-26,10,12.0,2015,2015.0,68.0,42.0,Male,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),Yes (HUD),"90 days or more, but less than one year",Category 1 - Homeless (HUD),Place not meant for habitation (HUD)
704492,70856,"Staying or living with friends, temporary tenure (HUD)",2015-10-19,2015-10-22,10,10.0,2015,2015.0,3.0,55.0,Male,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),Yes (HUD),One night or less,Category 1 - Homeless (HUD),Place not meant for habitation (HUD)
704493,162748,"Staying or living with friends, temporary tenure (HUD)",2015-10-19,2015-10-22,10,10.0,2015,2015.0,3.0,34.0,Male,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),"One week or more, but less than one month",Category 1 - Homeless (HUD),Place not meant for habitation (HUD)
704494,160833,"Staying or living with friends, temporary tenure (HUD)",2015-10-19,2015-11-07,10,11.0,2015,2015.0,19.0,57.0,Male,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),Yes (HUD),One night or less,Category 1 - Homeless (HUD),"Staying or living in a friend's room, apartment or house (HUD)"
704495,168456,"Staying or living with friends, temporary tenure (HUD)",2015-10-19,2015-11-02,10,11.0,2015,2015.0,14.0,43.0,Male,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),"90 days or more, but less than one year",Category 1 - Homeless (HUD),Place not meant for habitation (HUD)
704496,216474,"Staying or living with friends, temporary tenure (HUD)",2015-10-19,2015-10-28,10,10.0,2015,2015.0,9.0,23.0,Male,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),One night or less,Category 1 - Homeless (HUD),"Staying or living in a friend's room, apartment or house (HUD)"
704790,411376,"Staying or living with friends, temporary tenure (HUD)",2015-10-20,2015-10-21,10,10.0,2015,2015.0,1.0,50.0,Male,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),Two to six nights,Category 1 - Homeless (HUD),Place not meant for habitation (HUD)
704791,400414,"Staying or living with friends, temporary tenure (HUD)",2015-10-19,2015-10-21,10,10.0,2015,2015.0,2.0,55.0,Male,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),"One week or more, but less than one month",Category 1 - Homeless (HUD),"Staying or living in a friend's room, apartment or house (HUD)"
704792,392703,"Staying or living with friends, temporary tenure (HUD)",2015-10-20,2015-10-31,10,10.0,2015,2015.0,11.0,43.0,Male,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),Two to six nights,Category 1 - Homeless (HUD),"Emergency shelter, incl. hotel/motel paid for w/ ES voucher, or RHY-funded Host Home shelter (HUD)"
705118,175495,"Staying or living with friends, temporary tenure (HUD)",2015-10-01,2016-02-18,10,2.0,2015,2016.0,140.0,57.0,Male,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),"90 days or more, but less than one year",Stably housed (HUD),Transitional housing for homeless persons (including homeless youth) (HUD)
705119,318262,"Staying or living with friends, temporary tenure (HUD)",2015-10-21,2015-10-25,10,10.0,2015,2015.0,4.0,36.0,Male,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),"One month or more, but less than 90 days",Category 1 - Homeless (HUD),"Staying or living in a friend's room, apartment or house (HUD)"
705120,123122,Hospital or other residential non-psychiatric medical facility (HUD),2015-10-19,2015-12-02,10,12.0,2015,2015.0,44.0,51.0,Male,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),"One week or more, but less than one month",Category 1 - Homeless (HUD),"Staying or living in a friend's room, apartment or house (HUD)"
705400,370512,"Staying or living with friends, permanent tenure (HUD)",2015-10-22,2015-10-25,10,10.0,2015,2015.0,3.0,54.0,Male,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),"One month or more, but less than 90 days",Category 1 - Homeless (HUD),Place not meant for habitation (HUD)
705401,106968,"Staying or living with friends, temporary tenure (HUD)",2015-10-22,2015-10-27,10,10.0,2015,2015.0,5.0,51.0,Male,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),One year or longer (HUD),Category 1 - Homeless (HUD),"Jail, prison or juvenile detention facility (HUD)"
705402,204335,Permanent housing (other than RRH) for formerly homeless persons (HUD),2015-10-22,2015-12-03,10,12.0,2015,2015.0,42.0,32.0,Male,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),"One week or more, but less than one month",Category 1 - Homeless (HUD),Hotel or motel paid for without emergency shelter voucher (HUD)
705403,399340,"Staying or living with friends, temporary tenure (HUD)",2015-10-22,2015-11-13,10,11.0,2015,2015.0,22.0,20.0,Female,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),One year or longer (HUD),Category 1 - Homeless (HUD),"Staying or living in a family member's room, apartment or house (HUD)"
705404,328081,"Staying or living with friends, temporary tenure (HUD)",2015-10-22,2015-10-26,10,10.0,2015,2015.0,4.0,25.0,Female,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),"90 days or more, but less than one year",Category 1 - Homeless (HUD),Place not meant for habitation (HUD)
705893,169422,"Staying or living with friends, temporary tenure (HUD)",2015-10-24,2015-12-18,10,12.0,2015,2015.0,55.0,32.0,Male,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),Two to six nights,Category 1 - Homeless (HUD),Place not meant for habitation (HUD)
705906,252732,"Rental by client, no ongoing housing subsidy (HUD)",2015-10-24,2015-11-05,10,11.0,2015,2015.0,12.0,35.0,Female,Female,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),Two to six nights,Category 1 - Homeless (HUD),"Emergency shelter, incl. hotel/motel paid for w/ ES voucher, or RHY-funded Host Home shelter (HUD)"
705912,175598,"Rental by client, no ongoing housing subsidy (HUD)",2015-10-25,2015-11-05,10,11.0,2015,2015.0,11.0,35.0,Male,Male,White (HUD),Hispanic/Latino (HUD),No (HUD),"One month or more, but less than 90 days",Category 1 - Homeless (HUD),Place not meant for habitation (HUD)
706434,313697,"Staying or living with friends, temporary tenure (HUD)",2015-10-26,2015-10-29,10,10.0,2015,2015.0,3.0,22.0,Male,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),Two to six nights,Category 1 - Homeless (HUD),"Staying or living in a family member's room, apartment or house (HUD)"
706435,249417,"Staying or living with friends, temporary tenure (HUD)",2015-10-26,2015-10-28,10,10.0,2015,2015.0,2.0,46.0,Male,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),"One week or more, but less than one month",Category 1 - Homeless (HUD),"Staying or living in a friend's room, apartment or house (HUD)"
706436,411844,"Staying or living with friends, temporary tenure (HUD)",2015-10-26,2015-10-30,10,10.0,2015,2015.0,4.0,30.0,Male,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),"90 days or more, but less than one year",Category 1 - Homeless (HUD),"Jail, prison or juvenile detention facility (HUD)"
706437,196082,"Staying or living with friends, temporary tenure (HUD)",2015-10-26,2015-10-30,10,10.0,2015,2015.0,4.0,55.0,Male,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),"90 days or more, but less than one year",Category 2 - At imminent risk of losing housing (HUD),"Rental by client, no ongoing housing subsidy (HUD)"
706438,331381,"Staying or living with friends, temporary tenure (HUD)",2015-10-26,2015-10-27,10,10.0,2015,2015.0,1.0,54.0,Male,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),"One week or more, but less than one month",Category 1 - Homeless (HUD),Place not meant for habitation (HUD)
